time,bidPrice,offerPrice,bidQty,offerQty
0,100.15,100.25,79,52
1,100.15,100.25,60,94
2,100.25,100.35,90,78
3,100.45,100.55,52,58
4,100.55,100.65,71,77
5,100.35,100.45,63,71
6,100.45,100.55,97,59
7,100.35,100.45,66,92
8,100.25,100.35,90,81
9,100.25,100.35,52,61
10,100.25,100.35,59,53
11,100.35,100.45,60,56
12,100.35,100.45,83,98
13,100.35,100.45,94,67
14,100.35,100.45,93,81
15,100.35,100.45,81,97
16,100.45,100.55,60,68
17,100.35,100.45,80,67
18,100.35,100.45,52,89
19,100.25,100.35,84,78
20,99.95,100.05,54,54
21,100.05,100.15,60,88
22,100.15,100.25,51,92
23,100.05,100.15,60,64
24,100.25,100.35,81,90
25,100.05,100.15,59,88
26,100.05,100.15,58,95
27,100.05,100.15,99,86
28,100.15,100.25,56,88
29,100.25,100.35,97,100
30,100.25,100.35,55,54
31,100.25,100.35,53,62
32,100.15,100.25,55,56
33,99.95,100.05,69,86
34,99.95,100.05,69,96
35,99.95,100.05,97,85
36,100.05,100.15,99,97
37,100.15,100.25,96,95
38,100.05,100.15,73,95
39,100.05,100.15,56,70
40,99.95,100.05,50,62
41,99.85,99.95,75,76
42,99.65,99.75,62,57
43,99.85,99.95,77,58
44,99.85,99.95,90,53
45,99.85,99.95,96,70
46,99.75,99.85,89,57
47,99.85,99.95,84,59
48,99.65,99.75,97,84
49,99.65,99.75,54,73
50,99.55,99.65,64,73
51,99.65,99.75,61,68
52,99.65,99.75,67,53
53,99.55,99.65,88,80
54,99.55,99.65,74,68
55,99.65,99.75,93,91
56,99.65,99.75,79,95
57,99.75,99.85,97,84
58,99.75,99.85,96,94
59,99.75,99.85,71,58
60,99.75,99.85,98,63
61,99.75,99.85,81,93
62,99.65,99.75,75,52
63,99.55,99.65,75,70
64,99.60,99.80,83,52
65,99.65,99.75,94,68
66,99.55,99.65,88,89
67,99.65,99.75,60,87
68,99.55,99.65,63,58
69,99.55,99.65,89,71
70,99.65,99.75,90,96
71,99.65,99.75,90,71
72,99.75,99.85,98,60
73,99.65,99.75,94,98
74,99.75,99.85,94,52
75,99.75,99.85,60,69
76,99.65,99.75,61,74
77,99.65,99.75,86,55
78,99.65,99.75,60,71
79,99.65,99.75,89,99
80,99.55,99.65,73,64
81,99.65,99.75,97,76
82,99.75,99.85,69,84
83,99.65,99.75,92,69
84,99.85,99.95,75,82
85,100.05,100.15,61,58
86,100.15,100.25,69,85
87,100.15,100.25,68,87
88,100.05,100.15,88,80
89,100.15,100.25,55,62
90,100.05,100.15,86,64
91,100.15,100.25,89,73
92,100.15,100.25,57,76
93,100.25,100.35,54,67
94,100.25,100.35,58,68
95,100.25,100.35,56,89
96,100.25,100.35,94,91
97,100.35,100.45,80,85
98,100.35,100.45,99,62
99,100.35,100.45,90,94
100,100.45,100.55,55,52
101,100.25,100.35,86,96
102,100.05,100.15,81,81
103,100.15,100.25,72,76
104,100.05,100.15,75,87
105,100.25,100.35,94,60
106,100.15,100.25,60,71
107,100.05,100.15,71,75
108,100.25,100.35,75,84
109,100.35,100.45,75,85
110,100.45,100.55,71,88
111,100.45,100.55,84,78
112,100.35,100.45,59,88
113,100.50,100.70,62,92
114,100.45,100.55,58,94
115,100.45,100.55,98,57
116,100.45,100.55,71,83
117,100.35,100.45,99,78
118,100.35,100.45,99,76
119,100.45,100.55,77,85
120,100.45,100.55,98,54
121,100.25,100.35,69,68
122,100.25,100.35,100,81
123,100.35,100.45,97,82
124,100.25,100.35,62,86
125,100.15,100.45,84,96
126,100.15,100.25,90,97
127,100.35,100.45,92,67
128,100.35,100.45,56,99
129,100.35,100.45,88,56
130,100.25,100.35,54,89
131,100.25,100.35,73,66
132,100.15,100.25,64,71
133,100.15,100.25,69,97
134,100.05,100.15,80,53
135,100.15,100.25,92,92
136,100.15,100.25,59,81
137,100.15,100.25,63,85
