time,bidPrice,offerPrice,bidQty,offerQty
0,100.35,100.45,79,52
1,100.45,100.55,60,94
2,100.65,100.75,90,78
3,101.05,101.15,52,58
4,101.35,101.45,71,77
5,101.05,101.15,63,71
6,101.15,101.25,97,59
7,101.05,101.15,66,92
8,100.95,101.05,90,81
9,100.95,101.05,52,61
10,100.95,101.05,59,53
11,101.15,101.25,60,56
12,101.25,101.35,83,98
13,101.25,101.35,94,67
14,101.25,101.35,93,81
15,101.25,101.35,81,97
16,101.45,101.55,60,68
17,101.35,101.45,80,67
18,101.35,101.45,52,89
19,101.15,101.25,84,78
20,100.55,100.65,54,54
21,100.65,100.75,60,88
22,100.75,100.85,51,92
23,100.55,100.65,60,64
24,100.95,101.05,81,90
25,100.65,100.75,59,88
26,100.65,100.75,58,95
27,100.55,100.65,99,86
28,100.85,100.95,56,88
29,101.05,101.15,97,100
30,101.05,101.15,55,54
31,101.05,101.15,53,62
32,100.85,100.95,55,56
33,100.45,100.55,69,86
34,100.35,100.45,69,96
35,100.35,100.45,97,85
36,100.55,100.65,99,97
37,100.75,100.85,96,95
38,100.65,100.75,73,95
39,100.55,100.65,56,70
40,100.35,100.45,50,62
41,100.05,100.15,75,76
42,99.75,99.85,62,57
43,100.15,100.25,77,58
44,100.05,100.15,90,53
45,99.95,100.05,96,70
46,99.65,99.75,89,57
47,99.85,99.95,84,59
48,99.55,99.65,97,84
49,99.55,99.65,54,73
50,99.35,99.45,64,73
51,99.45,99.55,61,68
52,99.35,99.45,67,53
53,99.15,99.25,88,80
54,99.15,99.25,74,68
55,99.25,99.35,93,91
56,99.25,99.35,79,95
57,99.35,99.45,97,84
58,99.25,99.35,96,94
59,99.25,99.35,71,58
60,99.15,99.25,98,63
61,99.15,99.25,81,93
62,99.05,99.15,75,52
63,98.75,98.85,75,70
64,98.80,99.00,83,52
65,98.85,98.95,94,68
66,98.55,98.65,88,89
67,98.75,98.85,60,87
68,98.65,98.75,63,58
69,98.75,98.85,89,71
70,98.95,99.05,90,96
71,99.05,99.15,90,71
72,99.35,99.45,98,60
73,99.15,99.25,94,98
74,99.25,99.35,94,52
75,99.15,99.25,60,69
76,99.05,99.15,61,74
77,98.95,99.05,86,55
78,98.95,99.05,60,71
79,99.05,99.15,89,99
80,98.85,98.95,73,64
81,99.05,99.15,97,76
82,99.15,99.25,69,84
