time,bidPrice,offerPrice,bidQty,offerQty
0,150.15,150.25,79,52
1,150.15,150.25,60,94
2,150.25,150.35,90,78
3,150.45,150.55,52,58
4,150.65,150.75,71,77
5,150.55,150.65,63,71
6,150.65,150.75,97,59
7,150.65,150.75,66,92
8,150.65,150.75,90,81
9,150.65,150.75,52,61
10,150.65,150.75,59,53
11,150.75,150.85,60,56
12,150.85,150.95,83,98
13,150.85,150.95,94,67
14,150.85,150.95,93,81
15,150.85,150.95,81,97
16,150.95,151.05,60,68
17,150.95,151.05,80,67
18,150.95,151.05,52,89
19,150.85,150.95,84,78
20,150.55,150.65,54,54
21,150.55,150.65,60,88
22,150.65,150.75,51,92
23,150.55,150.65,60,64
24,150.75,150.85,81,90
25,150.55,150.65,59,88
26,150.55,150.65,58,95
27,150.55,150.65,99,86
28,150.65,150.75,56,88
29,150.75,150.85,97,100
30,150.75,150.85,55,54
31,150.75,150.85,53,62
32,150.65,150.75,55,56
33,150.45,150.55,69,86
34,150.35,150.45,69,96
35,150.35,150.45,97,85
36,150.45,150.55,99,97
37,150.55,150.65,96,95
38,150.45,150.55,73,95
39,150.35,150.45,56,70
40,150.25,150.35,50,62
41,150.05,150.15,75,76
42,149.85,149.95,62,57
43,150.05,150.15,77,58
44,149.95,150.05,90,53
45,149.85,149.95,96,70
46,149.75,149.85,89,57
47,149.85,149.95,84,59
48,149.65,149.75,97,84
49,149.65,149.75,54,73
50,149.55,149.65,64,73
51,149.55,149.65,61,68
52,149.45,149.55,67,53
53,149.35,149.45,88,80
54,149.35,149.45,74,68
55,149.35,149.45,93,91
56,149.35,149.45,79,95
57,149.35,149.45,97,84
58,149.25,149.35,96,94
59,149.15,149.25,71,58
60,149.05,149.15,98,63
61,148.95,149.05,81,93
62,148.85,148.95,75,52
63,148.65,148.75,75,70
64,148.60,148.80,83,52
65,148.55,148.65,94,68
66,148.35,148.45,88,89
67,148.35,148.45,60,87
68,148.25,148.35,63,58
69,148.25,148.35,89,71
70,148.35,148.45,90,96
71,148.35,148.45,90,71
72,148.45,148.55,98,60
73,148.35,148.45,94,98
74,148.35,148.45,94,52
75,148.25,148.35,60,69
76,148.15,148.25,61,74
77,148.05,148.15,86,55
78,147.95,148.05,60,71
79,147.95,148.05,89,99
80,147.85,147.95,73,64
81,147.95,148.05,97,76
82,147.95,148.05,69,84
83,147.75,147.85,92,69
84,147.85,147.95,75,82
85,148.05,148.15,61,58
86,148.15,148.25,69,85
87,148.15,148.25,68,87
88,148.05,148.15,88,80
89,148.15,148.25,55,62
90,148.05,148.15,86,64
91,148.15,148.25,89,73
92,148.15,148.25,57,76
93,148.25,148.35,54,67
94,148.25,148.35,58,68
95,148.35,148.45,56,89
96,148.35,148.45,94,91
97,148.55,148.65,80,85
98,148.55,148.65,99,62
99,148.55,148.65,90,94
100,148.75,148.85,55,52
101,148.55,148.65,86,96
102,148.45,148.55,81,81
103,148.55,148.65,72,76
104,148.45,148.55,75,87
105,148.65,148.75,94,60
106,148.55,148.65,60,71
107,148.45,148.55,71,75
108,148.65,148.75,75,84
109,148.75,148.85,75,85
110,148.95,149.05,71,88
111,149.05,149.15,84,78
112,148.95,149.05,59,88
113,149.10,149.30,62,92
114,149.15,149.25,58,94
115,149.25,149.35,98,57
116,149.35,149.45,71,83
117,149.35,149.45,99,78
118,149.35,149.45,99,76
119,149.45,149.55,77,85
120,149.45,149.55,98,54
121,149.35,149.45,69,68
122,149.35,149.45,100,81
123,149.45,149.55,97,82
124,149.35,149.45,62,86
125,149.25,149.55,84,96
126,149.25,149.35,90,97
127,149.45,149.55,92,67
128,149.45,149.55,56,99
129,149.45,149.55,88,56
130,149.35,149.45,54,89
131,149.35,149.45,73,66
132,149.25,149.35,64,71
133,149.25,149.35,69,97
134,149.15,149.25,80,53
135,149.15,149.25,92,92
136,149.15,149.25,59,81
137,149.15,149.25,63,85
138,149.15,149.25,92,78
139,149.05,149.15,99,65
140,148.80,149.00,88,61
141,148.85,148.95,57,54
142,148.85,148.95,67,61
143,148.85,148.95,92,94
144,149.05,149.15,92,72
